food_id,ISSCAAP,integragency_code,food_name,habitat,food_state,protein(g),calcium(mg),iron(mg),zinc(mg),selenium(mcg),vitaminA(mcg),omega3(g)
91001,12,TLN,"Nile tilapia, fillet, raw (n.s.)",,r,18.3,15,0.8,0.44,24,1,0.19
91067,12,TLN,"Nile tilapia, fillet, steamed (n.s.)",,c,21.1,17,0.7,0.51,25,1,0.22
91128,12,TLN,"Nile tilapia, fillet, boiled in recipe (n.s.)",,c,21.1,17,0.9,0.51,28,1,0.22
91189,12,TLN,"Nile tilapia, fillet, grilled (n.s.)",,c,23.2,18,0.8,0.56,30,1,0.24
91002,12,TLN,"Nile tilapia, farmed, fillet, raw (n.s.)",F,r,18.1,15,0.8,0.45,24,1,0.1
91068,12,TLN,"Nile tilapia, farmed, fillet, steamed (n.s.)",F,c,20.9,17,0.8,0.52,25,1,0.11
91129,12,TLN,"Nile tilapia, farmed, fillet, boiled in recipe (n.s.)",F,c,20.9,17,0.9,0.52,28,1,0.11
91190,12,TLN,"Nile tilapia, farmed, fillet, grilled (n.s.)",F,c,23,18,0.9,0.57,30,1,0.12
91003,12,TLN,"Nile tilapia, farmed, fillet w/o skin, raw (China)",F,r,17.5,13,0.2,0.33,23,1,0.05
91069,12,TLN,"Nile tilapia, farmed, fillet w/o skin, steamed (China)",F,c,20.1,15,0.2,0.38,24,1,0.05
91130,12,TLN,"Nile tilapia, farmed, fillet w/o skin, boiled in recipe (China)",F,c,20.1,15,0.2,0.38,26,1,0.05
91191,12,TLN,"Nile tilapia, farmed, fillet w/o skin, grilled (China)",F,c,22.1,17,0.2,0.42,29,1,0.06
91004,12,TLN,"Nile tilapia, dressed w/ head, raw (Bangladesh)",,r,19.5,108,1,1.04,39,10,
91070,12,TLN,"Nile tilapia, dressed w/ head, steamed (Bangladesh)",,c,22.4,124,0.9,1.2,40,10,
91131,12,TLN,"Nile tilapia, dressed w/ head, boiled in recipe (Bangladesh)",,c,22.4,124,1.1,1.2,45,10,
91192,12,TLN,"Nile tilapia, dressed w/ head, grilled (Bangladesh)",,c,24.7,136,1,1.32,49,11,
91005,12,TLN,"Nile tilapia, wild, fillet w/ bones, raw (Africa)",W,r,16.3,883,3,7,24,1,0.28
91071,12,TLN,"Nile tilapia, wild, fillet w/ bones, steamed (Africa)",W,c,18.8,1010,2.8,8.05,25,1,0.33
91132,12,TLN,"Nile tilapia, wild, fillet w/ bones, boiled in recipe (Africa)",W,c,18.8,1010,3.4,8.05,28,1,0.33
91193,12,TLN,"Nile tilapia, wild, fillet w/ bones, grilled (Africa)",W,c,20.7,1120,3.2,8.86,30,1,0.37
91006,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, raw",,r,19.9,15,0.1,0.47,24,1,0.1
91072,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, steamed",,c,22.9,17,0.1,0.54,25,1,0.11
91133,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, boiled in recipe ",,c,22.9,17,0.1,0.54,28,1,0.11
91194,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, grilled",,c,25.2,18,0.1,0.59,30,1,0.12
91007,13,CTO,"Torpedo-shaped catfishes, raw",,r,17.3,23,0.7,0.66,38,9,
91073,13,CTO,"Torpedo-shaped catfishes, boiled",,c,20.9,28,0.7,0.8,41,10,
91134,13,CTO,"Torpedo-shaped catfishes, boiled in recipe",,c,20.9,28,0.9,0.8,46,10,
91195,13,CTO,"Torpedo-shaped catfishes, baked",,c,23.1,31,0.8,0.88,51,11,
91008,13,CBT,"Philippine catfish, whole, raw",,r,16.8,59,0.8,0.68,32,44,0.35
91074,13,CBT,"Philippine catfish, whole, boiled♦",,c,20.2,71,0.8,0.81,35,48,0.43
91135,13,CBT,"Philippine catfish, whole, boiled in recipe",,c,20.2,71,1,0.81,39,48,0.43
91196,13,CBT,"Philippine catfish, whole, baked",,c,22.4,78,0.9,0.9,43,53,0.48
91009,13,CLZ,"North African catfish, fillet, raw (n.s.)",,r,17.8,23,0.5,1.07,38,9,0.42
91075,13,CLZ,"North African catfish, fillet, boiled♦ (n.s.)",,c,21.5,28,0.5,1.29,41,10,0.5
91136,13,CLZ,"North African catfish, fillet, boiled in recipe (n.s.)",,c,21.5,28,0.7,1.29,46,10,0.5
91197,13,CLZ,"North African catfish, fillet, baked (n.s.)",,c,23.8,31,0.6,1.43,51,11,0.56
91010,13,CLZ,"North African catfish, wild, fillet w/ bones, raw",,r,18,832,3,8,38,9,0.68
91076,13,CLZ,"North African catfish, wild, fillet w/ bones, boiled♦",,c,21.7,1000,2.9,9.64,41,10,0.83
91137,13,CLZ,"North African catfish, wild, fillet w/ bones, boiled in recipe",,c,21.7,1000,3.6,9.64,46,10,0.83
91198,13,CLZ,"North African catfish, wild, fillet w/ bones, baked",,c,24,1110,3.4,10.7,51,11,0.92
91011,13,CLZ,"North African catfish, wild, fillet, raw",,r,18,23,0.54,1.07,38,9,0.68
91077,13,CLZ,"North African catfish, wild, fillet, boiled♦",,c,21.7,28,0.5,1.29,41,10,0.83
91138,13,CLZ,"North African catfish, wild, fillet, boiled in recipe",,c,21.7,28,0.7,1.29,46,10,0.83
91199,13,CLZ,"North African catfish, wild, fillet, baked",,c,24,31,0.6,1.43,51,11,0.92
91012,13,CMC,"Bighead catfish, fillet, raw (ASEAN)",,r,18.1,20,0.5,0.2,38,9,0.12
91078,13,CMC,"Bighead catfish, fillet, boiled♦ (ASEAN)",,c,21.8,24,0.5,0.24,41,10,0.15
91139,13,CMC,"Bighead catfish, fillet, boiled in recipe (ASEAN)",,c,21.8,24,0.7,0.24,46,10,0.15
91200,13,CMC,"Bighead catfish, fillet, baked (ASEAN)",,c,24.2,27,0.6,0.27,51,11,0.17
91013,13,CMC,"Bighead catfish, fillet w/ skin, raw (ASEAN)",,r,18.1,20,0.5,0.2,38,9,0.08
91079,13,CMC,"Bighead catfish, fillet w/ skin, boiled♦ (ASEAN)",,c,21.8,24,0.5,0.24,41,10,0.1
91140,13,CMC,"Bighead catfish, fillet w/ skin, boiled in recipe (ASEAN)",,c,21.8,24,0.7,0.24,46,10,0.1
91201,13,CMC,"Bighead catfish, fillet w/ skin, baked (ASEAN)",,c,24.2,27,0.6,0.27,51,11,0.11
91014,13,FPI,"Northern pike, fillet w/o skin, raw (n.s.)",,r,18.4,27,0.2,0.82,25,12,0.21
91080,13,FPI,"Northern pike, fillet w/o skin, boiled♦ (n.s.)",,c,22.1,32,0.2,0.99,27,13,0.26
91141,13,FPI,"Northern pike, fillet w/o skin, boiled in recipe (n.s.)",,c,22.1,32,0.2,0.99,30,13,0.26
91202,13,FPI,"Northern pike, fillet w/o skin, baked (n.s.)",,c,24.5,36,0.2,1.09,33,14,0.29
91015,13,FPI,"Northern pike, wild, fillet w/o skin, raw (Europe)",W,r,18.9,26,0.1,0.81,13,12,0.18
91081,13,FPI,"Northern pike, wild, fillet w/o skin, boiled♦ (Europe)",W,c,22.8,31,0.1,0.98,14,13,0.22
91142,13,FPI,"Northern pike, wild, fillet w/o skin, boiled in recipe (Europe)",W,c,22.8,31,0.2,0.98,15,13,0.22
91203,13,FPI,"Northern pike, wild, fillet w/o skin, baked (Europe)",W,c,25.3,35,0.2,1.08,17,14,0.25
91016,13,FPI,"Northern pike, wild, fillet w/o skin, raw (North America)",W,r,17.9,28,0.3,0.83,50,12,0.13
91082,13,FPI,"Northern pike, wild, fillet w/o skin, boiled♦ (North America)",W,c,21.6,34,0.3,1,54,13,0.17
91143,13,FPI,"Northern pike, wild, fillet w/o skin, boiled in recipe (North America)",W,c,21.6,34,0.3,1,60,13,0.17
91204,13,FPI,"Northern pike, wild, fillet w/o skin, baked (North America)",W,c,23.9,37,0.3,1.11,67,14,0.19
91017,13,ITP,"Catfish, channel, fillet, raw (n.s.)",,r,15.6,20,0.8,0.83,10,8,0.36
91083,13,ITP,"Catfish, channel, fillet, boiled♦ (n.s.)",,c,18.8,24,0.8,1,11,8,0.34
91144,13,ITP,"Catfish, channel, fillet, boiled in recipe (n.s.)",,c,18.8,24,1,1,13,8,0.44
91205,13,ITP,"Catfish, channel, fillet, baked (n.s.)",,c,20.9,26,1,1.1,14,9,0.33
91018,13,ITP,"Catfish, channel, farmed, fillet, raw (USA)",F,r,15.7,20,1,0.89,8.2,8,0.1
91084,13,ITP,"Catfish, channel, farmed, fillet, boiled♦ (USA)",F,c,18.9,24,0.9,1.07,8.9,8,0.09
91145,13,ITP,"Catfish, channel, farmed, fillet, boiled in recipe (USA)",F,c,18.9,24,1.2,1.07,10,8,0.12
91206,13,ITP,"Catfish, channel, farmed, fillet, baked (USA)",F,c,20.9,26,1.1,1.19,11,9,0.09
91019,13,ITP,"Catfish, channel, farmed, fillet, raw, (previously frozen) (USA)",F,r,15.4,10,1,1.07,8.2,8,0.09
91085,13,ITP,"Catfish, channel, farmed, fillet, boiled♦, (previously frozen) (USA)",F,c,18.6,12,0.9,1.29,8.9,8,0.11
91146,13,ITP,"Catfish, channel, farmed, fillet, boiled in recipe, (previously frozen) (USA)",F,c,18.6,12,1.2,1.29,10,8,0.11
91207,13,ITP,"Catfish, channel, farmed, fillet, baked, (previously frozen) (USA)",F,c,20.5,13,1.1,1.42,11,9,0.12
91020,13,ITP,"Catfish, channel, wild, fillet, raw (USA)",W,r,16.3,21,0.3,0.51,13,15,0.41
91086,13,ITP,"Catfish, channel, wild, fillet, boiled♦ (USA)",W,c,19.6,25,0.3,0.61,14,16,0.5
91147,13,ITP,"Catfish, channel, wild, fillet, boiled in recipe (USA)",W,c,19.6,25,0.4,0.61,15,16,0.5
91208,13,ITP,"Catfish, channel, wild, fillet, baked (USA)",W,c,21.7,27,0.3,0.68,17,18,0.55
91021,13,PGS,"Striped catfish, fillet, raw (n.s.)",F,r,14.7,14,0.1,0.27,13,11,0.07
91087,13,PGS,"Striped catfish, fillet, boiled♦ (n.s.)",F,c,17.8,17,0.1,0.33,15,12,0.08
91148,13,PGS,"Striped catfish, fillet, boiled in recipe (n.s.)",F,c,17.8,17,0.2,0.33,16,12,0.08
91209,13,PGS,"Striped catfish, fillet, baked (n.s.)",F,c,19.7,19,0.2,0.36,18,13,0.09
91022,13,PGS,"Striped catfish, farmed, fillet w/o skin, raw, (previously frozen) (Vietnam)",F,r,14.6,16,0.1,0.28,13,11,0.05
91088,13,PGS,"Striped catfish, farmed, fillet w/o skin, boiled♦ (previously frozen) (Vietnam)",F,c,17.6,19,0.1,0.34,15,12,0.06
91149,13,PGS,"Striped catfish, farmed, fillet w/o skin, boiled in recipe, (previously frozen) (Vietnam)",F,c,17.6,19,0.2,0.34,16,12,0.06
91210,13,PGS,"Striped catfish, farmed, fillet w/o skin, baked (previously frozen) (Vietnam)",F,c,19.5,21,0.1,0.38,18,13,0.07
91023,13,PGS,"Striped catfish, farmed, fillet w/o skin, raw, (previously frozen) (n.s.)",F,r,14.6,16,0.1,0.28,13,11,0.05
91089,13,PGS,"Striped catfish, farmed, fillet w/o skin, boiled♦ (previously frozen) (n.s.)",F,c,17.6,19,0.1,0.34,15,12,0.06
91150,13,PGS,"Striped catfish, farmed, fillet w/o skin, boiled in recipe, (previously frozen) (n.s.)",F,c,17.6,19,0.2,0.34,16,12,0.06
91211,13,PGS,"Striped catfish, farmed, fillet w/o skin, baked (previously frozen) (n.s.)",F,c,19.5,21,0.1,0.38,18,13,0.07
91024,13,PGS,"Striped catfish, whole, raw (ASEAN/Bangladesh)",,r,16.1,16,0.8,0.45,19,11,0.33
91090,13,PGS,"Striped catfish, whole, boiled♦ (ASEAN/Bangladesh)",,c,19.4,20,0.8,0.55,21,9,0.34
91151,13,PGS,"Striped catfish, whole, boiled in recipe (ASEAN/Bangladesh)",,c,19.4,20,0.9,0.55,23,12,0.39
91212,13,PGS,"Striped catfish, whole, baked (ASEAN/Bangladesh)",,c,21.5,22,0.9,0.6,25,11,0.34
91025,13,PGS,"Striped catfish, tail part, raw (Bangladesh)",,r,18.1,16,0.4,0.71,19,11,0.05
91091,13,PGS,"Striped catfish, tail part, boiled♦ (Bangladesh)",,c,21.8,20,0.4,0.86,21,12,0.06
91152,13,PGS,"Striped catfish, tail part, boiled in recipe (Bangladesh)",,c,21.8,20,0.4,0.86,23,12,0.06
91213,13,PGS,"Striped catfish, tail part, baked (Bangladesh)",,c,24.2,22,0.4,0.95,25,13,0.07
91026,23,SAL,"Atlantic salmon, fillet w/o skin, raw (n.s.)",,r,20,13,0.4,0.4,23,12,2.52
91092,23,SAL,"Atlantic salmon, fillet w/o skin, boiled♦ (n.s.) ",,c,24.1,15,0.4,0.48,24,10,2.76
91153,23,SAL,"Atlantic salmon, fillet w/o skin, boiled in recipe (n.s.) ",,c,24.1,15,0.4,0.48,27,13,3.04
91214,23,SAL,"Atlantic salmon, fillet w/o skin, grilled♦ (n.s.)",,c,23.3,15,0.4,0.46,26,12,2.71
91027,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, raw (n.s.)",F,r,19.9,12,0.3,0.37,21,9,2.59
91093,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled♦ (n.s.)",F,c,23.9,14,0.3,0.44,23,7,2.85
91154,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled in recipe (n.s.)",F,c,23.9,14,0.3,0.44,26,10,3.13
91215,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, grilled♦ (n.s.)",F,c,23.1,14,0.3,0.43,25,8,2.79
91028,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, raw (Norway)",F,r,19.4,10,0.3,0.39,23,9,3.07
91094,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled♦ (Norway)",F,c,23.3,12,0.3,0.46,25,7,3.13
91155,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled in recipe (Norway)",F,c,23.3,12,0.3,0.46,28,9,3.71
91216,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, grilled♦ (Norway)",F,c,22.5,11,0.3,0.45,27,8,3.12
91029,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, raw (Iceland)",F,r,19.9,19,0.3,0.36,21,9,2.19
91095,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled♦ (Iceland)",F,c,24,22,0.3,0.43,23,7,2.39
91156,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled in recipe (Iceland)",F,c,24,22,0.3,0.43,25,10,2.65
91217,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, grilled♦ (Iceland)",F,c,23.1,22,0.3,0.41,24,8,2.35
91030,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, raw (Ireland, UK)",F,r,20.4,10,0.3,0.4,18,11,3.13
91096,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled♦ (Ireland, UK)",F,c,28.9,27,0.3,0.52,25,6,3.19
91157,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, boiled in recipe (Ireland, UK)",F,c,24.5,12,0.4,0.48,22,12,3.78
91218,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, grilled♦ (Ireland, UK)",F,c,23.7,12,0.3,0.47,21,10,3.18
91031,23,SAL,"Atlantic salmon, farmed, fillet w/o skin nor visible fat, raw (Chile)",F,r,20.8,6,0.4,0.42,21,9,1.23
91097,23,SAL,"Atlantic salmon, farmed, fillet w/o skin nor visible fat, boiled♦ (Chile)",F,c,25.1,7,0.3,0.51,23,7,1.21
91158,23,SAL,"Atlantic salmon, farmed, fillet w/o skin nor visible fat, boiled in recipe (Chile)",F,c,25.1,7,0.4,0.51,25,10,1.49
91219,23,SAL,"Atlantic salmon, farmed, fillet w/o skin nor visible fat, grilled♦ (Chile)",F,c,24.2,7,0.4,0.49,24,8,1.22
91032,23,SAL,"Atlantic salmon, wild, fillet w/o skin, raw (n.s.)",W,r,20.1,16,0.7,0.57,30,16,2.64
91098,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled♦ (n.s.)",W,c,24.2,19,0.7,0.69,32,13,2.83
91159,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled in recipe (n.s.)",W,c,24.2,19,0.8,0.69,36,17,3.19
91220,23,SAL,"Atlantic salmon, wild, fillet w/o skin, grilled♦ (n.s.)",W,c,23.4,18,0.7,0.66,34,15,2.8
91033,23,SAL,"Atlantic salmon, wild, fillet w/o skin, raw (Northeast Atlantic)",W,r,20.2,18,0.7,0.5,30,18,3.06
91099,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled♦ (Northeast Atlantic)",W,c,24.4,21,0.6,0.6,32,15,3.34
91160,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled in recipe (Northeast Atlantic)",W,c,24.4,21,0.8,0.6,36,20,3.7
91221,23,SAL,"Atlantic salmon, wild, fillet w/o skin, grilled♦ (Northeast Atlantic)",W,c,23.5,20,0.6,0.58,34,17,3.28
91034,23,SAL,"Atlantic salmon, wild, fillet w/o skin, raw (Northwest Atlantic)",W,r,19.8,12,0.8,0.64,27,12,1.86
91100,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled♦ (Northwest Atlantic)",W,c,23.9,14,0.8,0.77,29,10,1.84
91161,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled in recipe (Northwest Atlantic)",W,c,23.9,14,1,0.77,33,13,2.25
91222,23,SAL,"Atlantic salmon, wild, fillet w/o skin, grilled♦ (Northwest Atlantic)",W,c,23.1,14,0.8,0.74,31,11,1.85
91062,23,SAL,"Atlantic salmon, smoked (n.s.)",,p,22.2,13,0.4,0.43,21,11,2.21
91063,23,SAL,"Atlantic salmon, fillet w/o skin, cold-smoked",,p,21.9,10,0.3,0.42,21,11,2.34
91064,23,SAL,"Atlantic salmon, fillet w/o skin, hot-smoked",,p,23.6,11,0.4,0.46,24,12,2.15
91065,23,SAL,"Atlantic salmon, wild, fillet w/o skin, cold-smoked (NE Atlantic)",W,p,22,15,0.5,0.42,21,15,1.87
91066,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, cold-smoked",F,p,21.8,8,0.2,0.42,21,6,2.38
91035,23,TRR,"Rainbow trout, fillet, raw (n.s.) ",,r,19.2,29,0.7,0.96,17,18,
91101,23,TRR,"Rainbow trout, fillet, boiled♦ (n.s.) ",,c,21.3,32,0.6,1.07,17,14,
91162,23,TRR,"Rainbow trout, fillet, boiled in recipe (n.s.) ",,c,21.3,32,0.8,1.07,19,18,
91223,23,TRR,"Rainbow trout, fillet, grilled♦ (n.s.) ",,c,24.6,37,0.8,1.24,22,19,
91036,23,TRR,"Rainbow trout, farmed, fillet, raw (n.s.)",F,r,19.1,16,0.4,0.43,17,18,
91102,23,TRR,"Rainbow trout, farmed, fillet, boiled♦ (n.s.)",F,c,21.3,18,0.3,0.48,17,14,
91163,23,TRR,"Rainbow trout, farmed, fillet, boiled in recipe (n.s.)",F,c,21.3,18,0.4,0.48,19,18,
91224,23,TRR,"Rainbow trout, farmed, fillet, grilled♦ (n.s.)",F,c,24.5,21,0.4,0.55,22,19,
91037,23,TRR,"Rainbow trout, farmed, fillet w/o skin, raw (Germany)",F,r,19.5,16,0.4,0.43,17,18,
91103,23,TRR,"Rainbow trout, farmed, fillet w/o skin, boiled♦ (Germany)",F,c,21.7,18,0.3,0.48,17,18,
91164,23,TRR,"Rainbow trout, farmed, fillet w/o skin, boiled in recipe (Germany)",F,c,21.7,18,0.4,0.48,19,18,
91225,23,TRR,"Rainbow trout, farmed, fillet w/o skin, grilled♦ (Germany)",F,c,25,21,0.4,0.55,22,21,
91038,23,TRR,"Rainbow trout, farmed, fillet w/ skin, raw (Denmark)",F,r,18.8,16,0.4,0.43,17,19,
