food_id,ISSCAAP,integragency_code,food_name,habitat,food_state,protein(g),calcium(mg),iron(mg),zinc(mg),selenium(mcg),vitaminA(mcg),omega3(g)
92095,43,NEP,"Norway lobster, flesh, boiled in recipe",,c,21.3,83,2.5,1.89,61,7,0.13
92133,43,NEP,"Norway lobster, flesh, grilled♦",,c,22,86,2.2,1.96,63,7,0.13
92020,43,VLO,"Spiny lobsters, flesh, raw",,r,19,38,1.1,3.13,45,3,
92058,43,VLO,"Spiny lobsters, flesh, boiled",,c,21.4,42,1,3.51,45,3,
92096,43,VLO,"Spiny lobsters, flesh, boiled in recipe",,c,21.4,42,1.2,3.51,51,3,
92134,43,VLO,"Spiny lobsters, flesh, grilled♦",,c,22.1,44,1.1,3.63,52,3,
92021,43,LOR,"Red rock lobster, flesh, raw",,r,21.7,40,0.3,1.93,29,2,
92059,43,LOR,"Red rock lobster, flesh, boiled",,c,24.4,45,0.3,2.17,29,2,
92097,43,LOR,"Red rock lobster, flesh, boiled in recipe",,c,24.4,45,0.4,2.17,32,2,
92135,43,LOR,"Red rock lobster, flesh, grilled♦",,c,25.2,46,0.3,2.24,33,3,
92022,44,KCX,"King crabs/Stone crabs, flesh, raw",,r,15.8,103,0.6,5.95,36,7,0.19
92060,44,KCX,"King crabs/Stone crabs, flesh, boiled",,c,18.1,118,0.5,6.84,38,7,0.24
92098,44,KCX,"King crabs/Stone crabs, flesh, boiled in recipe",,c,18.1,118,0.7,6.84,42,7,0.24
92136,44,KCX,"King crabs/Stone crabs, flesh, grilled♦",,c,18.3,120,0.6,6.92,42,7,0.24
92023,44,KCD,"Red king crab, flesh, raw",,r,15.8,103,0.6,5.95,36,7,0.19
92061,44,KCD,"Red king crab, flesh, boiled",,c,18.1,118,0.5,6.84,38,7,0.24
92099,44,KCD,"Red king crab, flesh, boiled in recipe",,c,18.1,118,0.7,6.84,42,7,0.24
92137,44,KCD,"Red king crab, flesh, grilled♦",,c,18.3,120,0.6,6.92,42,7,0.24
92024,45,CSH,"Common shrimp, flesh, raw",,r,18.5,,1.7,,41,2,0.37
92062,45,CSH,"Common shrimp, flesh, boiled",,c,22.3,,1.6,,44,2,0.46
92100,45,CSH,"Common shrimp, flesh, boiled in recipe",,c,22.3,,2,,49,2,0.46
92138,45,CSH,"Common shrimp, flesh, grilled♦",,c,21.5,,1.7,,48,2,0.45
92025,45,PAN,"Pandalus shrimps, flesh, raw",,r,17.5,21,1.1,1.53,72,,0.25
92063,45,PAN,"Pandalus shrimps, flesh, boiled",,c,21,25,1.1,1.84,78,,0.32
92101,45,PAN,"Pandalus shrimps, flesh, boiled in recipe",,c,21,25,1.3,1.84,86,,0.32
92139,45,PAN,"Pandalus shrimps, flesh, grilled♦",,c,20.3,24,1.1,1.77,83,,0.31
92026,45,PRA,"Northern prawn, flesh, raw",,r,16.4,21,0.2,1.12,23,,0.15
92064,45,PRA,"Northern prawn, flesh, boiled",,c,19.7,25,0.2,1.35,25,,0.2
92102,45,PRA,"Northern prawn, flesh, boiled in recipe",,c,19.7,25,0.3,1.35,28,,0.2
92140,45,PRA,"Northern prawn, flesh, grilled♦",,c,19,24,0.2,1.3,27,,0.19
92027,45,PEZ,"Penaeid shrimps, flesh, raw",,r,19.3,59,1.4,1.43,42,11,
92065,45,PEZ,"Penaeid shrimps, flesh, boiled",,c,23.2,71,1.3,1.72,45,12,
92103,45,PEZ,"Penaeid shrimps, flesh, boiled in recipe",,c,23.2,71,1.7,1.72,50,12,
92141,45,PEZ,"Penaeid shrimps, flesh, grilled♦",,c,22.4,69,1.4,1.66,48,11,
92028,45,ENS,"Endeavour shrimp, flesh, raw",,r,22.5,60,0.2,1.64,65,11,
92066,45,ENS,"Endeavour shrimp, flesh, boiled",,c,27.1,72,0.2,1.98,70,12,
92104,45,ENS,"Endeavour shrimp, flesh, boiled in recipe",,c,27.1,72,0.2,1.98,78,12,
92142,45,ENS,"Endeavour shrimp, flesh, grilled♦",,c,26.2,69,0.2,1.91,75,11,
92029,45,MPM,"Eastern school shrimp, flesh, raw",,r,17.8,583,2.8,1.54,25,3,
92067,45,MPM,"Eastern school shrimp, flesh, boiled",,c,21.4,702,2.7,1.86,27,3,
92105,45,MPM,"Eastern school shrimp, flesh, boiled in recipe",,c,21.4,702,3.3,1.86,30,3,
92143,45,MPM,"Eastern school shrimp, flesh, grilled♦",,c,20.7,678,2.7,1.79,29,3,
92030,45,MPN,"Speckled shrimp, flesh, raw",,r,19.8,133,1.8,1.25,42,11,
92068,45,MPN,"Speckled shrimp, flesh, boiled",,c,23.8,160,1.7,1.51,45,12,
92106,45,MPN,"Speckled shrimp, flesh, boiled in recipe",,c,23.8,160,2.1,1.51,50,12,
92144,45,MPN,"Speckled shrimp, flesh, grilled♦",,c,23,154,1.8,1.45,48,11,
92031,45,PRB,"Brown tiger prawn, flesh, raw",,r,23.4,163,0.3,1.69,29,5,
92069,45,PRB,"Brown tiger prawn, flesh, boiled",,c,28.2,196,0.3,2.04,32,5,
92107,45,PRB,"Brown tiger prawn, flesh, boiled in recipe",,c,28.2,196,0.3,2.04,35,5,
92145,45,PRB,"Brown tiger prawn, flesh, grilled♦",,c,27.2,190,0.3,1.97,34,5,
92032,45,WKP,"Western king prawn, flesh, raw",,r,23.9,45,,1.49,44,11,
92070,45,WKP,"Western king prawn, flesh, boiled",,c,28.8,54,,1.8,47,12,
92108,45,WKP,"Western king prawn, flesh, boiled in recipe",,c,28.8,54,,1.8,53,12,
92146,45,WKP,"Western king prawn, flesh, grilled♦",,c,27.8,53,,1.73,51,11,
92033,45,PBA,"Banana prawn, flesh, raw",,r,13.2,20,0.1,0.91,30,11,
92071,45,PBA,"Banana prawn, flesh, boiled",,c,15.9,24,0.1,1.09,33,12,
92109,45,PBA,"Banana prawn, flesh, boiled in recipe",,c,15.9,24,0.2,1.09,37,12,
92147,45,PBA,"Banana prawn, flesh, grilled♦",,c,15.3,23,0.1,1.05,35,11,
92034,45,GIT,"Giant tiger prawn, flesh, raw (n.s.)",,r,17.3,49,2.2,1.96,31,15,
92072,45,GIT,"Giant tiger prawn, flesh, boiled (n.s.)",,c,20.9,59,2.1,2.37,34,16,
92110,45,GIT,"Giant tiger prawn, flesh, boiled in recipe (n.s.)",,c,20.9,59,2.6,2.37,37,16,
92148,45,GIT,"Giant tiger prawn, flesh, grilled♦ (n.s.)",,c,20.1,57,2.2,2.28,36,16,
92035,45,GIT,"Giant tiger prawn, farmed, flesh, raw",F,r,17.1,26,3.1,1.73,31,15,
92073,45,GIT,"Giant tiger prawn, farmed, flesh, boiled",F,c,20.6,31,3,2.08,34,16,
92111,45,GIT,"Giant tiger prawn, farmed, flesh, boiled in recipe",F,c,20.6,31,3.7,2.08,37,16,
92149,45,GIT,"Giant tiger prawn, farmed, flesh, grilled♦",F,c,19.9,30,3,2.01,36,16,
92036,45,TIP,"Green tiger prawn, flesh, raw",,r,20.8,60,1.5,1.43,42,11,
92074,45,TIP,"Green tiger prawn, flesh, boiled",,c,25.1,73,1.4,1.72,45,12,
92112,45,TIP,"Green tiger prawn, flesh, boiled in recipe",,c,25.1,73,1.8,1.72,50,12,
92150,45,TIP,"Green tiger prawn, flesh, grilled♦",,c,24.2,70,1.5,1.66,48,11,
92037,45,PNV,"Whiteleg shrimp, flesh, raw",,r,18.2,34,1,1.32,34,11,0.16
92075,45,PNV,"Whiteleg shrimp, flesh, boiled",,c,21.9,41,0.9,1.58,37,12,0.2
92113,45,PNV,"Whiteleg shrimp, flesh, boiled in recipe",,c,21.9,41,1.2,1.58,41,12,0.2
92151,45,PNV,"Whiteleg shrimp, flesh, grilled♦",,c,21.2,40,0.9,1.53,40,11,0.19
92038,45,SHS,"Sergestid shrimps, flesh, raw",,r,18.5,376,2.7,1.11,49,54,
92076,45,SHS,"Sergestid shrimps, flesh, boiled",,c,22.2,452,2.6,1.34,53,59,
92114,45,SHS,"Sergestid shrimps, flesh, boiled in recipe",,c,22.2,452,3.3,1.34,59,59,
92152,45,SHS,"Sergestid shrimps, flesh, grilled♦",,c,21.5,437,2.7,1.29,57,57,
93001,52,ABX,"Abalones, muscle, raw",,r,17.7,31,2.6,1.01,21,11,
93036,52,ABX,"Abalones, muscle, boiled♦",,c,28.1,49,3.3,1.6,30,15,
93071,52,ABX,"Abalones, muscle, boiled in recipe",,c,28.1,49,4.1,1.6,33,15,
93002,52,JTX,"Conch shells, flesh, raw",,r,23.3,271,3,4.4,,,
93037,52,JTX,"Conch shells, flesh, boiled♦",,c,45.6,532,4.8,8.63,,,
93072,52,JTX,"Conch shells, flesh, boiled in recipe",,c,45.6,532,5.9,8.63,,,
93003,52,TBG,"Giant Eastern Pacific conch, flesh, raw",,r,23.6,271,3,4.4,,,
93038,52,TBG,"Giant Eastern Pacific conch, flesh, boiled♦",,c,46.3,532,4.8,8.63,,,
93073,52,TBG,"Giant Eastern Pacific conch, flesh, boiled in recipe",,c,46.3,532,5.9,8.63,,,
93004,52,TBI,"Eastern Pacific fighting conch, flesh, raw",,r,23,271,3,4.4,,,
93039,52,TBI,"Eastern Pacific fighting conch, flesh, boiled♦",,c,45.1,532,4.8,8.63,,,
93074,52,TBI,"Eastern Pacific fighting conch, flesh, boiled in recipe",,c,45.1,532,5.9,8.63,,,
93005,53,OYC,"Cupped oysters, flesh, raw",,r,8.89,118,3.1,11.5,37,27,
93040,53,OYC,"Cupped oysters, flesh, steamed",,c,11.4,151,3.2,14.7,43,31,
93075,53,OYC,"Cupped oysters, flesh, boiled in recipe",,c,11.4,151,4,14.7,48,31,
93006,53,OYG,"Pacific cupped oyster, flesh, raw (n.s.)",,r,9.72,144,2.7,8.5,36,21,
93041,53,OYG,"Pacific cupped oyster, flesh, steamed (n.s.)",,c,12.5,185,2.8,10.9,42,24,
93076,53,OYG,"Pacific cupped oyster, flesh, boiled in recipe (n.s.)",,c,12.5,185,3.5,10.9,46,24,
93007,53,OYG,"Pacific cupped oyster, farmed, flesh, raw",F,r,9.62,182,1.6,0.01,33,21,
93042,53,OYG,"Pacific cupped oyster, farmed, flesh, steamed",F,c,12.3,234,1.6,0.02,38,24,
93077,53,OYG,"Pacific cupped oyster, farmed, flesh, boiled in recipe",F,c,12.3,234,2,0.02,42,24,
93008,53,OYM,"Mangrove cupped oyster, flesh, raw",,r,8.44,118,2.4,11.9,37,27,
93043,53,OYM,"Mangrove cupped oyster, flesh, steamed",,c,10.8,151,2.5,15.2,43,31,
93078,53,OYM,"Mangrove cupped oyster, flesh, boiled in recipe",,c,10.8,151,3.1,15.2,48,31,
93009,53,OYA,"American cupped oyster, flesh, raw (n.s.)",,r,5.57,52,5.2,38.6,42,11,0.29
93044,53,OYA,"American cupped oyster, flesh, steamed (n.s.)",,c,7.1,66,5.3,49.5,48,12,0.4
93079,53,OYA,"American cupped oyster, flesh, boiled in recipe (n.s.)",,c,7.1,66,6.7,49.5,53,12,0.4
93010,53,OYA,"American cupped oyster, flesh, farmed, raw (USA)",F,r,5.11,44,5.8,37.9,64,8,0.34
93045,53,OYA,"American cupped oyster, flesh, farmed, steamed (USA)",F,c,6.6,56,5.9,48.6,74,9,0.46
93080,53,OYA,"American cupped oyster, flesh, farmed, boiled in recipe (USA)",F,c,6.6,56,7.4,48.6,82,9,0.46
93011,53,OYA,"American cupped oyster, flesh, wild, raw (USA)",W,r,5.95,59,4.6,39.3,20,13,0.22
93046,53,OYA,"American cupped oyster, flesh,wild, steamed (USA)",W,c,7.6,76,4.7,50.4,23,15,0.3
93081,53,OYA,"American cupped oyster, flesh,wild, boiled in recipe (USA)",W,c,7.6,76,5.9,50.4,25,15,0.3
93012,53,OYX,"Flat oysters, flesh, raw",,r,9.42,100,6,9.47,68,46,
93047,53,OYX,"Flat oysters, flesh, steamed",,c,12.1,128,6.2,12.1,78,53,
93082,53,OYX,"Flat oysters, flesh, boiled in recipe",,c,12.1,128,7.7,12.1,87,53,
93013,53,OYF,"European flat oyster, flesh, raw",,r,10.8,140,5.7,9.47,23,46,0.27
93048,53,OYF,"European flat oyster, flesh, steamed",,c,13.8,179,5.8,12.1,27,53,0.36
93083,53,OYF,"European flat oyster, flesh, boiled in recipe",,c,13.8,179,7.3,12.1,29,53,0.36
93014,54,MYV,"Mytilus mussels, flesh, raw",,r,11.4,50,4.2,2.08,49,68,
93049,54,MYV,"Mytilus mussels, flesh, boiled♦",,c,18.3,81,5.4,3.36,72,99,
93084,54,MYV,"Mytilus mussels, flesh, boiled in recipe",,c,18.3,81,6.7,3.36,80,99,
93015,54,MUK,"Korean mussel, flesh, raw",,r,12.4,42,2.3,1.35,49,68,0.76
93050,54,MUK,"Korean mussel, flesh, boiled♦",,c,20,68,2.9,2.18,71,99,1.29
93085,54,MUK,"Korean mussel, flesh, boiled in recipe",,c,20,68,3.6,2.18,79,99,1.29
93016,54,MUS,"Blue mussel, flesh, raw",,r,11.8,39,4.4,2.19,50,68,
93051,54,MUS,"Blue mussel, flesh, boiled♦",,c,19,63,5.7,3.53,72,99,
93086,54,MUS,"Blue mussel, flesh, boiled in recipe",,c,19,63,7.1,3.53,80,99,
93017,54,MSM,"Mediterranean mussel, flesh, raw (n.s.)",,r,9.57,69,2.5,2.79,49,68,0.38
93052,54,MSM,"Mediterranean mussel, flesh, boiled♦ (n.s.)",,c,15.4,111,3.2,4.49,72,99,0.66
93087,54,MSM,"Mediterranean mussel, flesh, boiled in recipe (n.s.)",,c,15.4,111,4,4.49,80,99,0.66
93018,54,MSM,"Mediterranean mussel, wild, flesh, raw",W,r,10.2,88,4.2,4.6,49,68,0.37
93053,54,MSM,"Mediterranean mussel, wild, flesh, boiled♦",W,c,16.5,142,5.4,7.42,72,99,0.64
93088,54,MSM,"Mediterranean mussel, wild, flesh, boiled in recipe",W,c,16.5,142,6.7,7.42,80,99,0.64
93019,54,MSM,"Mediterranean mussel, farmed, flesh, raw",F,r,8.25,60,2.5,1.88,49,68,0.4
93054,54,MSM,"Mediterranean mussel, farmed, flesh, boiled♦",F,c,13.3,96,3.2,3.03,72,99,0.69
93089,54,MSM,"Mediterranean mussel, farmed, flesh, boiled in recipe",F,c,13.3,96,4,3.03,80,99,0.69
93020,54,XMS,"Perna mussel, flesh, raw",,r,13.5,46,6.8,1.58,51,55,0.65
93055,54,XMS,"Perna mussel, flesh, boiled♦",,c,21.8,73,8.8,2.55,74,80,1.12
93090,54,XMS,"Perna mussel, flesh, boiled in recipe",,c,21.8,73,11,2.55,82,80,1.12
93021,54,MUZ,"New Zealand mussel, flesh, raw (New Zealand)",,r,10.7,66,3.3,1.13,51,55,0.58
93056,54,MUZ,"New Zealand mussel, flesh, boiled♦ (New Zealand)",,c,17.2,106,4.3,1.82,74,80,1.01
93091,54,MUZ,"New Zealand mussel, flesh, boiled in recipe (New Zealand)",,c,17.2,106,5.3,1.82,82,80,1.01
93022,54,MSV,"Green mussel, flesh, raw",,r,9.3,25,10.3,1.623,51,55,0.23
93057,54,MSV,"Green mussel, flesh, boiled♦",,c,15,40,13.3,2.62,74,80,0.44
93092,54,MSV,"Green mussel, flesh, boiled in recipe",,c,15,40,16.6,2.62,82,80,0.44
93023,55,SCX,"Scallops, flesh, raw",,r,14.9,46,1.3,1.71,23,11,
93058,55,SCX,"Scallops, flesh, boiled",,c,29.9,91,2,3.43,41,20,
93093,55,SCX,"Scallops, flesh, boiled in recipe",,c,29.9,91,2.5,3.43,46,20,
93024,55,SCE,"Great Atlantic scallop, flesh, raw",,r,14.8,64,0.7,1.76,13,2,0.23
93059,55,SCE,"Great Atlantic scallop, flesh, boiled",,c,29.6,128,1.1,3.51,23,3,0.61
93094,55,SCE,"Great Atlantic scallop, flesh, boiled in recipe",,c,29.6,128,1.3,3.51,26,3,0.61
93025,56,CLV,"Venus clams, flesh, raw",,r,9.2,183,6.6,1.17,110,79,
93060,56,CLV,"Venus clams, flesh, boiled♦",,c,14.6,290,8.4,1.85,160,113,
93095,56,CLV,"Venus clams, flesh, boiled in recipe",,c,14.6,290,10.5,1.85,180,113,
93026,56,SVE,"Striped venus, flesh, raw",,r,9.23,223,7.7,1.26,130,79,0.46
93061,56,SVE,"Striped venus, flesh, boiled♦",,c,14.6,354,9.7,1.99,180,113,0.8
93096,56,SVE,"Striped venus, flesh, boiled in recipe",,c,14.6,354,12.2,1.99,200,113,0.8
93027,57,SQZ,"Inshore squids, flesh, raw",,r,15.9,18,0.7,1.26,43,13,
93062,57,SQZ,"Inshore squids, flesh, boiled",,c,31.2,36,1,2.47,77,23,
93097,57,SQZ,"Inshore squids, flesh, boiled in recipe",,c,31.2,36,1.3,2.47,85,23,
93106,57,SQZ,"Inshore squids, flesh, grilled",,c,26.1,30,0.9,2.06,71,19,
93028,57,SQR,"European squid, flesh, raw (n.s.)",,r,16.1,13,0.3,1.19,53,13,
93063,57,SQR,"European squid, flesh, boiled (n.s.)",,c,31.6,26,0.5,2.33,93,23,
93098,57,SQR,"European squid, flesh, boiled in recipe (n.s.)",,c,31.6,26,0.6,2.33,100,23,
93107,57,SQR,"European squid, flesh, grilled (n.s.)",,c,26.4,21,0.4,1.95,87,19,
93029,57,SQR,"European squid, wild, flesh, raw (Mediterranean Sea)",W,r,16.7,13,0.3,1.19,26,13,0.81
93064,57,SQR,"European squid, wild, flesh, boiled (Mediterranean Sea)",W,c,32.8,25,0.5,2.33,46,23,1.73
93099,57,SQR,"European squid, wild, flesh, boiled in recipe (Mediterranean Sea)",W,c,32.8,25,0.6,2.33,52,23,1.73
93108,57,SQR,"European squid, wild, flesh, grilled (Mediterranean Sea)",W,c,27.4,21,0.4,1.95,43,19,1.42
93030,57,OCT,"Octopuses, etc., flesh, raw",,r,13.8,33,2.3,2.84,47,26,0.15
93065,57,OCT,"Octopuses, etc., flesh, boiled",,c,27.1,65,3.5,5.57,83,46,0.4
93100,57,OCT,"Octopuses, etc., flesh, boiled in recipe",,c,27.1,65,4.4,5.57,92,46,0.4
93109,57,OCT,"Octopuses, etc., flesh, grilled",,c,22.7,54,3.1,4.66,77,38,0.31
93031,57,OCC,"Common octopus, flesh, raw (n.s.)",,r,13.7,34,2.4,3.09,54,26,0.18
93066,57,OCC,"Common octopus, flesh, boiled (n.s.)",,c,26.8,67,3.8,6.05,95,46,0.47
93101,57,OCC,"Common octopus, flesh, boiled in recipe (n.s.)",,c,26.8,67,4.7,6.05,110,46,0.47
93110,57,OCC,"Common octopus, flesh, grilled (n.s.)",,c,22.4,56,3.3,5.06,88,38,0.37
93032,57,OCC,"Common octopus, wild, flesh, raw (Mediterranean Sea)",W,r,13.4,38,3.7,5.1,54,26,0.18
93067,57,OCC,"Common octopus, wild, flesh, boiled (Mediterranean Sea)",W,c,26.3,74,5.8,10,95,46,0.48
93102,57,OCC,"Common octopus, wild, flesh, boiled in recipe (Mediterranean Sea)",W,c,26.3,74,7.3,10,,46,0.48
93111,57,OCC,"Common octopus, wild, flesh, grilled (Mediterranean Sea)",W,c,22,62,5.2,8.36,,38,0.38
93033,57,OMZ,"Ommastrephidae squids, flesh, raw",,r,16.4,37,3.3,2.81,51,0,
93068,57,OMZ,"Ommastrephidae squids, flesh, boiled",,c,32.2,73,5.2,5.5,90,0,
93103,57,OMZ,"Ommastrephidae squids, flesh, boiled in recipe",,c,32.2,73,6.5,5.5,100,0,
93112,57,OMZ,"Ommastrephidae squids, flesh, grilled",,c,26.9,61,4.6,4.6,83,0,
93034,57,CTL,"Cuttlefish/Bobtail squids, flesh, raw",,r,16.4,35,2.1,2.05,49,22,
93069,57,CTL,"Cuttlefish, bobtail squids, flesh, boiled",,c,32.1,69,3.3,4.02,87,39,
93104,57,CTL,"Cuttlefish, bobtail squids, flesh, boiled in recipe",,c,32.1,69,4.1,4.02,96,39,
93113,57,CTL,"Cuttlefish, bobtail squids, flesh, grilled",,c,26.8,58,2.9,3.36,81,32,
93035,57,CTC,"Common cuttlefish, flesh, raw",,r,16,22,2.5,2.99,49,22,0.31
93070,57,CTC,"Common cuttlefish, flesh, boiled",,c,31.3,44,4,5.85,87,39,0.72
93105,57,CTC,"Common cuttlefish, flesh, boiled in recipe",,c,31.3,44,4.9,5.85,96,39,0.72
93114,57,CTC,"Common cuttlefish, flesh, grilled",,c,26.2,37,3.5,4.89,81,32,0.58